5.4,dcZ] lhf<+vksa vkfn esavkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
5.4d,"dcZ] lhf<+vksa vkfn esa vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.5,vkpZ] xqacn vkfn esa vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
5.5d,"vkpZ]xqacn vkfn esa vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.6,fpeuh] ‘kk¶V vkfn esa vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy& III ½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
5.6d,"fpeuh] ‘kk¶V vkfn esa vkjlhlh¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.7,osy&LVhfuax esa vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy& III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
5.7d,"osy&LVhfuax esa vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.8,"Å/kZ~ok/kj vkSj {kSfrt fQu vyx ls ;k c‚Dl ywolZ cukrs gq,] Qsfl;k vkSj bZOl cksMZ esa vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.8d,"Å/kZ~ok/kj vkSj {kSfrt fQu vyx ls ;k c‚Dl ywolZ cukrs gq,] Qsfl;k vkSj bZOl cksMZ esa vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA çh&dkLV vkjlhlh",?ku eh-,4.00,,
5.12,"fLVªax dkslZ] cSaM] d‚fiax] csM IysV] ,adj Cy‚d] lkns f[kM+dh ds flys vkfn esa ih@,Q çhdkLV vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh",,,,
,oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
5.12d,"fLVªax dkslZ] cSaM] d‚fiax] csM IysV] ,adj Cy‚d] lkns f[kM+dh ds flys vkfn esa ih@,Q çhdkLV vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.13,"NksVs fyaVYl] 1-5 ehVj fDy;j LiSu ls vf/kd u gks] esa ih/,Q çhdkLV vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.13d,"NksVs fyaVYl]1-5 ehVj fDy;j LiSu ls vf/kd u gks] esa ih/,Q çhdkLV vkjlhlh ¼1%1-5 20%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.14,"eksfYMax tSls fd dksfuZl] f[kM+dh fd flfYy;ksa vkfn esa ih@,Q çhdkLV vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.14d 5.15,"eksfYMax tSls fd dksfuZl] f[kM+dh fd flfYy;ksa vkfn esa ih/,Q çhdkLV vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA fyaVsy] che] czslelZ vkfn esa ih@,Q çhdkLVvkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh- ?ku eh-,4.00 4.00,,
5.15d,"fyaVsy] che] czslelZ vkfn esa ih/,Q çhdkLV vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.16d,"‘ksYQ@vyekfj;ksa esa ih@,Q çhdkLVvkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.05,,
5.16,"‘ksYQ@vyekfj;ksa esa ih@,Q çhdkLV vkjlhlh¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.05,,
5.17,"Å/kZ~ok/kj vkSj {kSfrt fQu vyx ls ;k c‚Dl ywolZ cukrs gq,] esa ih@,Q çhdkLV vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
5.17d,"Å/kZ~ok/kj vkSj {kSfrt fQu vyx ls ;k c‚Dl ywolZ cukrs gq,] esa ih@,Q çhdkLV vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
5.18,iwoZ fojfpr lhesaV daØhV tkyh ¼1%2%4½ yxkuk,,,,
,5-18-1 50 fe0 eh0 eksVh,100 oxZ eh-,1-64*,,
,5-18-1 40 fe0 eh0 eksVh,100 oxZ eh-,1-64*,,
,5-18-1 25 fe0 eh0 eksVh,100 oxZ eh-,1-64*,,
,"jksYM LVhy Hkkxksa ij ,Udsflax",,,,
5.19,"che vkSj LraHkksa esa jksYM LVhy Hkkxksa dks lhesaV daØhV 1%1-5%3 ¼1 % 1-5 çk—frd lzksr ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ ds lkFk ,adsl djukA",?ku eh-,4.00,,
5.19d,"che vkSj LraHkksa esa jksYM LVhy Hkkxksa dks lhesaV daØhV 1%1-5.3 ¼1% 1-5 20% rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr ¼vapy&III½ % 3 oxhZ—r iRFkj dh jksM+h 20 feeh U;wure vkdkj",,,,
,"iquuZohuh—r daØhV jksM+h ¼vkjlh,½ 20%rd½ ds lkFk ,adsl djukA",?ku eh-,4.00,,
5.20,"fxzyst esa jksYM LVhy Hkkxksa dks lhesaV daØhV 1%1-5%3 ¼1 % 1-5çk—frd lzksr ls O;qRiUu eksVh jsr ¼vapy&III½ % 3çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ds lkFk ,adsl djukA",?ku eh-,4.00,,
5.20d,"fxzyst esa jksYM LVhy Hkkxksa dks lhesaV daØhV 1%1-5% 3 ¼1% 1-5 20%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr ¼vapy&III½ % 3 oxhZ—r iRFkj dh jksM+h 20 feeh U;wure vkdkj iquuZohuh—r daØhV jksM+h ¼vkjlh,½ 20%rd ½ds lkFk ,adsl djukA",?ku eh-,4.00,,
,fMtkbu feDl daØhV,,,,
5.33,"çk—frd lzksrksa ls çkIr ih@,y fMtkbu feDl daØhV",?ku eh-,3.30*,,
,5.33.1 dqlhZ Lrj rd,,,,
,"5.33.1.1 330 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM",,,,
,dk daØhV,?ku eh-,3.30,,
,"5.33.1.2 350 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 30 xzsM dk daØhV",?ku eh-,3.50,,
,"5.33.1.3 370 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 35 xzsM dk daØhV",?ku eh-,3.70,,
,"5.33.1.4 390 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 40 xzsM",,,,
,dk daØhV,?ku eh-,3.90,,
,"5.33.1.5 410 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 50 xzsM dk daØhV",?ku eh-,4.10,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
6-1,uho vkSj dqlhZ eas ukWu eksMwyj bZVkas ls fpukbZ dk dke,,,,
,6-1-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-95,,
,6-1-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-625,,
6-2,uhao vkSj dqlhZ esa eksMqwyj bZVksa ls fpukbZ dk dke,,,,
,6-2-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-836,,
,6-2-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-55,,
6-3,uhao vkSj dqlhZ esa e”khu xf<+r fNfnzr bZVksa ls fpukbZ dk dke,,,,
,6-3-1 ukWu eksMwyj bZVksa ds lkFk ¼1 lhesaV %6 eksVh jsr½,?ku eh-,0-625,,
,6-3-2 eksMwyj bZVksa ds lkFk ¼1 lhesaV %6 eksVh jsr½,?ku eh-,0-55,,
6-4,vf/klajpuk esa bZVksa ls fpukbZ dk dke,,,,
,6-4-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-95,,
,6-4-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-625,,
6-7,"f>jhnkj nhokjksa dh 5 ls 7-5 lseh pkSM+h f>jhcUnh djus ds fy, lhesaV elkys ls vk/kh Qq0ikS0 bZV dh fpukbZ dke",100 eh-,3-86,,
6-8,7 lseh- ¼1%3½ ds lheasV elkys ls bZV fpukbZ dk dke,100 oxZ eh-,9-23,,
6-9 o,ikVokyh vux<+ MkVksa o ikVokyh x<+h MkVksa esa,,,,
6-10,¼1%3½ ds lheasV elkys ls bZaV dh fpukbZ dke vk/kh bZaV dh fpukbZ dk dke,?ku eh-,1-28,,
6-12 o,"uhao vkSj dqlhZ ,oa vf/klajpuk esa vk/kh bZV dh fpukbZ dk dke",,,,
6-13,6-12-1 1%3 ¼1 lhesaV% 3 eksVh jsr½ ds lhesaV elkys ls o 6-13-1,100 oxZ eh-,14-28,,
,6-12-2 1%4 ¼1 lhesaV% 4 eksVh jsr½ ds lhesaV elkys ls o 6-13-2,100 oxZ eh-,10.64,,
,bZaV&Vkby dh fpukbZ dk dke,,,,
6-16,Ukhoks vkSj dqlhZ esa 10 oxZ uke dh bZaV&Vkbyksa dh fpukbZ dk dke,,,,
,6-16-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,1-52,,
,6-16-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,1-00,,
6-17 o,e”khu xf<+r VkbZyksa ls 1%6 ¼1 lheasV % 6 eksVh jsr½ lhesaV elkys esa,,,,
6-18,bZV VkbZy dh fpukbZ dk dke,?ku eh-,1-00,,
6-20 o,ikVokyh vux<+ MkVksa@ikVokyh x<+h MkVksa esa ¼1%4½ ds lheasV,,,,
6-21,elkys ls bZV VkbZy dh fpukbZ dk dke,?ku eh-,1-33,,
6-22,bZV&Vkby&fpukbZ dk dke 5 lseh- eksVk ¼1%3 ½ ds lhesaV elkys ls,100 oxZ eh-,7-65,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
,>jks[kk fpukbZ dk dke,,,,
6-23,1%4 ds lhesaV elkys ls yxkdj 10@11-4 lseh- eksVh >jks[kk fpukbZ dk dke [kqyh bZaVksa dh fpukbZ dk dk;Z,100 oxZ eh-,6-56,,
6-26,pquh gqbZ bZaVksa ls ¼1%6½ lheasV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-625,,
6-27,ekMwyj bZaVksa ls ¼1%6½ lheasV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-55,,
6-28,e”khu xf<+r ekMqyj bZaVksa ls ¼1%6½ lheasV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-55,,
6-29,e”khu xf<+r Qq0ikS0 ls- bZVksa ls ¼1%6½ lheasV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-625,,
6-30,e”khu xf<+r fNfnzr Qq-ikS-ls- bZVksa ls ¼1%6½ lheasV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-625,,
6-31,e”khu xf<+r fNfnzr ekMwyj bZVksa ls ¼1%6½ lhesaV elkys esa bZaV fpukbZ dk dk;Z,?ku eh-,0-55,,
6-32,fpduh feV~Vh&mM+ujk[k dh Qq- ikS- ls- bZVksa ls bZaV fpukbZ dk dk;Z,,,,
,6-32-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-95,,
,6-32-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-625,,
6-34,"ukWu ekMwyj mM+u jk[k pwuk bZVksa ¼,Q- ,- ,y- th- bZVksa ½ls fpukbZ dk;Z",,,,
,6-34-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-95,,
,6-34-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-625,,
6-35,e”khu xf<+r dSyf”k;e flfydsV ekMwyj bZVkas ls bZV fpukbZ dk dk;Z,,,,
,6-35-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0.836,,
,6-35-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-55,,
6-36,cfgosZfNr pVdk mM+u jk[k&fpduh feV~Vh lhoj ekMqyj bZVksa ls bZaV fpukbZ dk dk;Z,,,,
,6-36-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,?ku eh-,0-836,,
6-37,cfgosZfNr pVdk mM+u jk[k&fpduh feV~Vh lhoj ekMqyj bZVksa ls bZaV fpukbZ dk;Z ¼1%3½ lhesaV elkyk esa,?ku eh-,1-275,,
6-38,"vkWVksDyso ,jsfVM lhesaV Cykd vkSj 100 fe0eh0 eksVs ,-lh-lh- Cykd esa ¼1%4½ lhesaV elkys esa fpukbZ dk dk;Z",?ku eh-,0-57,,
6-44,7 lseh- foLr`r bZV fdukjkcUnh ¼1%4½ ds lheasV elkys ls,100 ehVj,0-137,,
6-45,mM+u jk[k vk/kk bZaV ds lkFk fpukbZ dk dk;Z,,,,
,6-45-1 1%3 ¼1 lhesaV % 3 eksVh jsr½ ds lhesaV elkys ls,100 oxZ eh-,14-28,,
,6-45-2 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls,100 oxZ eh-,10-64,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
,Cksjn~nk <ksdk& fpukbZ,,,,
7-1 o 7-2,csjn~nk <ksdk fpukbZ ¼1%6½ lhesaV elkys ls jn~nsnkj <ksdk fpukbZ,?ku eh0,0-825,,
7-6,jn~nsnkj <ksdk&fpukbZ ¼igys ntsZ dh½,,,,
,7-6-1 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls,?ku eh0,0-750,,
7-7,jn~nsnkj <ksdk&fpukbZ ¼ nwljs ntsZ dh½,,,,
,7-7-1 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls laxhu& fpukbZ,?ku eh0,0-750,,
7-12,Lkknh laxhu fpukbZ eas iRFkj dk dke ¼1%6½ ds lhesaV elkys ls ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr,?ku eh0,0-54,,
7-13 o,MkVksa@xqEcnksa eas Lkknh laxhu fpukbZ eas iRFkj dk dke ¼1%3½ ds lhesaV,,,,
7-14,elkys ls ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr,?ku eh0,1-07,,
7-15,v,x<+ laxhu fpukbZ ¼lkekU; dke½ esa iRFkj dk dke ¼1%6½ ds lhesaV elkys ls ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr ?kalh dVkbZ] x<+r okyk dke] uDdk”kh<kj laxhu fpukbZ,?ku eh0,0-54,
7-20,?kalh dVkbZ vkSj ;k x<+r okyk esa iRFkj dk dke ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr fofo/k iRFkj dk;Z,?ku eh0,0-54,,
7-26,iRFkj ds 10×5×2-50 lseh- xqTtksa dh O;oLFkk djuk vkSj ¼1%2½ ds lhesaV elkys ls yxkukA,izR;sd,0-007,,
7-28,iRFkj ds 40 feeh- eksVs vkSj 80 lseh- rd nhokj ds ckgj foLr`r <kyw NTts dh O;oLFkk djuk vkSj ¼1%4½ ds lheasV elkys esa ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr,100 oxZ eh0,5-59,,
7-29,"iRFkj ds 40 feeh- eksVs vkSj 80 lseh0 rd fudys gq, {kSfrt NTts dh O;oLFkk djuk vkSj ¼1%4½ ds lhesaV elkys esa ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr",100 oxZ eh0,4-94$0-03*,,
7-30,30 feeh- yky cywvk iRFkj ds lk;cku nhokjksa esa O;oLFkk djuk vkSj ¼1%4½ ds lhesaV elkys esa laiwfrZ lfgr] lEiw.kZ A,100 oxZ eh0,2-19,,
7-31,yky cyqvk iRFkj 55×22-5×45 lseh- ds czsdVksa dh O;oLFkk djuk A,100 ua0,3-02,,
7-32,“kh’kZdkvksa] dkfuZlksa] fadaxjh jn~nks esa lknk iRFkj dk dke ¼1%6½ ds lhesaV elkys ls ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr,?ku eh0,0-54,,
7-38,iRFkj Vkbyksa dk dke ¼1%3½ ds lhesaV elkys dh eksVh ijr ij *lQsn lhesaV,oxZ eh0,10-44$1-70*,,
la0,,ek,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh =k ¼fDoaVy esa½",,
8-1,"1%3 lhesaV elkys esa nhokj vLrj.k ds fy, 18feeh- eksVkbZ dk 1%2 ds lQsn lheasV elkys lfgr laxejej dk dk;Z",100 oxZ eh-,8-67+1-70*,,
8-2,"1%4 ds 20 feeh- eksVkbZ ij vk/kkfjr lhesaV elkys ds lkFk jlksbZ IysVQkeksaZ] izlk/ku iVyksa bR;kfn vkSj e”khu ds dVs gq, vkSj ikfy”k fd;s gq, 18 feeh- eksVs xsx vkjh ds dVs VqdM+ksa dh O;oLFkk djuk ,oa yxkukA",100 oxZ eh-,9-12,,
8-4,"vfrfjDr Hkqxrku] 150 fe-eh- rd dh pkSM+kbZ ds lEeq[kksa vkSj ikrksa esa ln`“; ewyen ls vyx vkSj Åij laxejej@xzsukbZV iRFkj] ,iksDlh “ky vk/kkfjrvkltd ls yxkus rFkk lkQ djus vkfn lfgr laiw.kZ",ehVj,1-27,,
8-7,lhesaV elkys 1%2 ls izcfyr lhesaV dadzhV@lhesaV daØhV ds f”kdatksa dh O;oLFkk djuk o yxkukA,,,,
,8-7-1 xueSVy f”kdats,fd-xzk-,0-0635,,
,8-7-2 taxjks/kh bLikr f”kadts,fd-xzk-,0-0701,,
8-9,"lhesaV elkys ¼1%3½ vkSj lhesaV ?kksy@ 3-3 fd-xkz-@oxZ eh- dh 12 feeh- eksVh ijr ij nhokj vLrj.k ds fy, iRFkj Vkby dk;Z lQsn lhesaV ls Vhi lfgrlaiw.kZA",100 oxZ eh-,10-44+1-90<sup>*</sup>,,
8-11,"e”khudV fejj@,tikfy”k dh O;oLFkk djuk o yxkuk",100 oxZ eh-,8-16+3-30<sup>*</sup>,,
8-14,"iRFkj dk dke fdukjs e”khu ls djs ¼e”khu dVh ,St½ nhokj vLrj.k vkfn ds fy, ¼1%3½ ds lhesaV elkys ls ¼1%2½ lQsn lhesaV elkys dh Vhi lfgr",100 oxZ eh0,9-18$1-56*,,
8-15,iRFkj ds nhokj vLrj.k esa LVsuySl LVhy f”kdatksa dh O;oLFkk djuk vkSj ¼1%2½ ds lheasV elkys lsa yxkukA,fd0 xzk0,0-07,,
8-16,iRFkj ds nhokj vLrj.k esa 7-5 lseh- yEch] 6 feeh- eksVh rkWcs dh dhyksa dh O;oLFkk djuk vkSj ¼1%2½ ds lhesaV elkys ls yxkukA,izR;sd,0-007,,
8-17,nhokj dh ckgjh rjQ 40 feeh- eksVs /kkSyiqj iRFkj ls cqp dk;Z djuk rFkk ¼1%3½ ds lhesaV elkys ls ykbunkj Vhi yxkus lfgr,100 oxZ eh0,15-50$1-70*,,
8-18,"iRFkj dk dke fdukjs e”khu ls dVs nhokj ds fy, 12 feeh- eksVh ijr ds mij ¼1%3½ ds lhesaV elkys ls Hkjs vkSj ¼1%2½ ds elkys ls tksM+uk",100 oxZ eh0,13-744,,
8-21,"bZaV nhokj ij lajpukRed LVhy QzseodZ ¼”kq’d DysfMax dk;Z ds fy,½ dh O;oLFkk djuk vkSj yxkuk vkSj ¼1%2%4½ ds lhesaV dadzhV ds lkFk A",100 fd0xzk0,1-05,,
8-23,"nwljh Js.kh dh lkxkSu dh ydM+h ds 50×50×50 feeh- xV~Vksa dh O;oLFkk djuk ,oa 1%3 ds lhesaV elkys ls mUgsa yxkukA",vnn 100,0-01,,
8-25,"nqljh Js.kh dh lkxksu dh ydMh ds lkns vLrj.k dh ydMh xêksa lfgr O;koLFkk djuk ,ao yxkukA",100 oxZ eh-,0-055,,
8-31,phuh feV~Vh dh dafpr Vkbysa izFke xq.koRrk okyh phuh feV~Vh dh dafpr fnokj Vkbyksa fd O;oLFkk djuk vkSj fcNkuk] lhesaV elkys 1%3 ds 12 fe-fe eksVs vk/kkj dk3-3,,,,
,fd- xzke izfr oxZ eh- dh nj ls xzs lhesaV dh lyjh ds lkFk *lQsn lhesaV,oxZ eh-,0-1044,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
10-4,"1 feeh- eksVh uje bLikr pknj ds ljdoka dikVksa dh <kWps lfgr O;oLFkk djuk ,oa yxkuk",100 oxZ eh0,0-35,,
10-5,"1 feeh- uje bLikr pknj ds njoktksa dh <kWps lfgr O;oLFkk djuk ,oa yxkukA",100 oxZ eh0,0-35,,
10-6,"fyiVok fdokM+ksa dh vkiwfrZ ,oa yxkuk",100 oxZ eh0,0-35,,
10-10-1 o,bLikr ds “kh”ksnkj ekud njokts] f[kM+fd;ksa dks yxkuk,100 fd0xzk0,0-13,,
10-11-1,,,,,
10%13%1,njoktksa] f[kM+fd;ksa jks”kunkuksa esa Vh vk;ju Ýse dh O;oLFkk djuk o yxkuk,10 fd0xzk0,0-11,,
10-15,"njoktksa] f[kM+fd;ksa rFkk jks’kunkuksa o vyekfj;ksa ds fy, V;wcyj pkS[kVksa dh O;oLFkk djuk vkSj lhesaV dadzhV 1%3%6 feykok ds 15×10×10 lseh- fiM+dksa esa 10 lseh- yEch 15×3 fe-eh-yXxks yxkukA",100 fd0xzk0,0-28,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
11-1,bZVksa ls [kMatk bZV dk Q”kZ cukuk,,,,
,11-1-1 1%4 ¼1 lhesaV % 4 eksVh jsr ½,oxZ eh0,0-1850,,
